epoch,train_loss,val_loss,val_mAP
0,0.9895331942757895,0.8910895188649496,0.5527170169859303
1,0.810213545034098,0.8118207454681396,0.544242703928274
2,0.7610435257124346,0.8336952726046244,0.574123378119856
3,0.6858692155327908,0.8135749896367391,0.5862325306434293
4,0.6391480329424836,0.889762818813324,0.590882668891802
5,0.5964377626430156,0.9988067547480265,0.5636435311605996
6,0.5515491754509682,0.9956348339716593,0.6043083168338235
7,0.49782680910687116,1.0679357846577961,0.598336042631306
8,0.44000079534774605,1.3132720788319905,0.5797589393711087
9,0.40818239159362263,1.2124837239583333,0.5667652874324117
10,0.36010393153789433,1.2502360343933105,0.5785464445963038
11,0.33026762410651805,1.5010194381078084,0.5752852776352605
12,0.2821637080159298,1.2866634527842205,0.5590724167822805
13,0.24694405357505,1.4946738084157307,0.5872034632119969
14,0.21478983396014503,1.8398151000340779,0.5249634692996565
15,0.2040573523141617,1.7028337319691975,0.5476969377570833
16,0.1812299697898155,1.8478014469146729,0.5378667229070031
17,0.16828591671100881,1.9127014478047688,0.5504200155122831
18,0.14700957058474076,1.9824044307072957,0.5355003742383819
19,0.13032182262733924,2.2576274077097573,0.5512625467753902
20,0.11139044156947801,2.5593162377675376,0.5670060738914772
21,0.11001639319367187,2.4931021531422934,0.5289892022465607
