epoch,train_loss,val_loss,val_mAP
0,1.0330512717712756,1.0398956338564556,0.4988460450259091
1,0.8447351344796115,0.9133512377738953,0.4975109645932583
2,0.7944476680700169,0.9958212971687317,0.5393768388628091
3,0.7176468614922014,0.9616000453631083,0.5415408473131115
4,0.6686077076335286,1.141466538111369,0.5534595266704249
5,0.610786282738974,1.2817100286483765,0.5515412697427313
6,0.5555715117343637,1.319990078608195,0.5591003711857077
7,0.4878868786401527,1.5459684530893962,0.5336793362565755
8,0.43914999171744945,1.8182775179545085,0.5570932794686783
9,0.39495356623516525,1.2492127815882366,0.5646646465620895
10,0.33700948676397635,1.8499209483464558,0.5221256867444161
11,0.2873198334560838,1.7116056680679321,0.5450658912431746
12,0.24033968670423642,1.931606928507487,0.5081181339661369
13,0.21731157982072166,2.0314097801844277,0.5231395770041742
14,0.20067373628533164,1.9123040040334065,0.5160162477976368
15,0.16517874945041744,2.062027335166931,0.5386008186438291
16,0.14412774596103403,2.235481063524882,0.5172641888554013
17,0.1309318310299585,2.0832826296488443,0.5513443663049659
18,0.10913169687223989,2.4300362269083657,0.552629984581699
19,0.09813533073594403,2.7424465815226235,0.5552590397990577
20,0.0922737154070028,2.64247457186381,0.5526794840787734
21,0.08631390359166057,2.9678308963775635,0.5218425921860507
22,0.06992254908694777,2.8297762870788574,0.5300205625089423
23,0.0648568463186885,2.8554979165395102,0.5386086329776477
24,0.06959681290873261,2.9402595361073813,0.5387052474659821
