epoch,train_loss,val_loss,val_mAP
0,1.0262156475421995,0.8980210423469543,0.543233599508504
1,0.8028827559116275,0.8894218603769938,0.5601654215309197
2,0.7485228007615998,0.7983514070510864,0.5881961351784488
3,0.6704483406488285,0.7465768059094747,0.6113996134229533
4,0.6495015739008437,0.9073972702026367,0.5936387601971324
5,0.6048118347345397,0.7764204740524292,0.614188442242113
6,0.5724888478600701,1.04673037926356,0.6212249416136955
7,0.5518183077490607,0.8153253396352133,0.6368925243327289
8,0.526408081830934,1.1205744743347168,0.6196798094632958
9,0.5028713324735331,1.012218952178955,0.6025562580262451
10,0.4518916690072348,1.094984531402588,0.5992774538305341
11,0.4480001843252847,1.2509044011433919,0.6183032059190872
12,0.41111235563145127,1.1477890014648438,0.619828691564222
13,0.4038335136895956,1.288898487885793,0.6144113395843689
14,0.35959942188373833,1.5463407437006633,0.5941436116989166
15,0.36003311186335807,1.7213724851608276,0.6069520389593495
16,0.33675795585610147,1.6645534038543701,0.5899823396390618
17,0.3321055984774301,1.3537198901176453,0.5916399249695036
18,0.27723530454691064,1.5589889287948608,0.6162814369276759
19,0.25721193191617037,1.699764569600423,0.60706091785009
20,0.25261262007230934,1.6673901875813801,0.6037000729272262
21,0.21919847816921945,1.6917035182317097,0.61672215611594
22,0.21451443710992502,1.8569088379542034,0.6069830167087078
