removed_edge,backbone,mAP,auroc
Full model,resnet50,0.5901666944071973,0.8161012021134643
-mesial_distal,resnet50,0.6043083168338235,0.8125100127934921
-bilateral,resnet50,0.5877289938787761,0.8115081900294179
-antagonist,resnet50,0.5706121359859967,0.7689588076100482
-member_of,resnet50,0.5664832324794367,0.7844112112190497
-part_of,resnet50,0.5646646465620895,0.7727780255564805
