epoch,train_loss,val_loss,val_mAP
0,1.0515307104864786,1.044766406218211,0.4846663094283461
1,0.8626824354016503,0.9595092336336771,0.4860318323349684
2,0.801297758900842,0.9798178871472677,0.5192410933369432
3,0.7234493424726087,0.9693831205368042,0.5252142443374643
4,0.6660433487836704,1.0628947416941326,0.5190110700268791
5,0.6069931006708811,1.2212766408920288,0.5424211224775859
6,0.5584384653457376,1.1229541699091594,0.550706675628322
7,0.5006610986798309,1.3162573178609211,0.5377826858007242
8,0.443526859200278,1.6604429086049397,0.5512295205394966
9,0.4123605593692425,1.228277285893758,0.5877289938787761
10,0.348338152087012,1.5700730085372925,0.574473024609354
11,0.3053954943668011,1.6101207335789998,0.5440607185509256
12,0.2822850724292356,1.8494719664255779,0.5468979095544138
13,0.2251903913741888,1.961395223935445,0.525588302680289
14,0.2130623598431432,1.9909971555074055,0.5627521524934338
15,0.18741459260846294,1.9943913221359253,0.5501084262819746
16,0.160776233343884,2.14030651251475,0.5358948469942338
17,0.15096046827560247,2.160413901011149,0.549370972332001
18,0.1434988554480464,2.2179344097773233,0.5421603128384355
19,0.12443921056597732,2.05512273311615,0.5619225879657976
20,0.1139851892583592,2.0657562414805093,0.5612172207037213
21,0.1080306064077588,2.36777933438619,0.5663099139128919
22,0.1023397054956403,2.5950801372528076,0.546645183149838
23,0.08745855469863083,2.5567286014556885,0.5424928133484586
24,0.07545108161866665,2.689560572306315,0.5397347954238223
