epoch,train_loss,val_loss,val_mAP
0,1.051152320795281,1.0721465349197388,0.4871012791038789
1,0.8486822219782097,0.9263540307680765,0.4894589232568936
2,0.8013289106446643,1.0265205105145772,0.5212479867447952
3,0.7202905458073283,1.0238157113393147,0.5234672122886851
4,0.6692424506642097,1.1504562497138977,0.5404111778997609
5,0.6134894642719003,1.309057633082072,0.5164270219676335
6,0.5578780985155771,1.5082690715789795,0.5398601791637444
7,0.48807086986164716,1.4193213780721028,0.5345135972925683
8,0.42553510222324104,1.6305210590362549,0.5595023100342154
9,0.3914589105650436,1.54481307665507,0.5261929028413245
10,0.32440899069919144,1.7043056885401409,0.5664832324794367
11,0.28729055683280147,1.8148112694422405,0.5177728927121297
12,0.257080644715664,1.7972406148910522,0.536747246270334
13,0.21521499267844266,1.8390862544377644,0.5234353182176423
14,0.1794816822160122,2.055628180503845,0.5350498519671032
15,0.1715298539330793,1.7949517965316772,0.542359938393573
16,0.14893888647473136,2.3243085145950317,0.5341260309240823
17,0.13889095603033555,2.2233486572901406,0.5489396528037602
18,0.12114532309216122,2.3374259074529014,0.5482609331780988
19,0.12035103783357975,2.492274204889933,0.5357467036271073
20,0.09664082934343537,2.8877216974894204,0.5339030021658306
21,0.0949537236849929,2.6888482570648193,0.5173999132792922
22,0.08952354735066724,2.7194623947143555,0.5361227524293339
23,0.08209227727249611,2.758631149927775,0.5386822525395613
24,0.07430864866216515,2.942591110865275,0.5387699290967904
25,0.07757773657524308,2.7748254934946694,0.5284798823943042
