epoch,train_loss,val_loss,val_mAP
0,1.0466637957927794,1.0321954290072124,0.48433402394413283
1,0.8558042590008226,0.9672016104062399,0.48287203637940096
2,0.7880842755007189,1.0534649888674419,0.5134228928827909
3,0.7104538256345794,1.0237377285957336,0.5477556279925547
4,0.6490029152049575,1.058345874150594,0.49655278516530055
5,0.5913890094258064,1.3450833956400554,0.5289977323888785
6,0.5351897187011186,1.4194529453913372,0.5343626828586681
7,0.4801095828067425,1.6251455942789714,0.5450511787927751
8,0.42697964851246323,1.8895890712738037,0.5329823814609795
9,0.39513806756152664,1.6905580759048462,0.5706121359859967
10,0.342404690592788,1.7814590136210124,0.554739334070666
11,0.3023845643498177,1.7294668753941853,0.5450349344612826
12,0.26658292599888733,1.8241145610809326,0.561536074302124
13,0.22456006081991417,1.9228461980819702,0.5421227978121881
14,0.20025391911351403,2.045572837193807,0.5436206834293432
15,0.17194945365190506,2.1019863287607827,0.5173050561307837
16,0.16182017984778382,2.45702330271403,0.5244668709069931
17,0.13684970140457153,2.3819998105367026,0.5325746917571543
18,0.13382185198539912,2.2742443084716797,0.533704084249327
19,0.1007261481569257,2.802554448445638,0.5175680075488722
20,0.09800537216455438,3.0179073810577393,0.5051187886915527
21,0.08381487922959549,2.691161553064982,0.5361077670497671
22,0.09197379986560622,3.204930623372396,0.5267767187485419
23,0.06350105598049108,3.183807373046875,0.5317047816200224
24,0.05405862291538438,3.4691782792409263,0.5311700030506381
